SensorID,time,latitude,longitude,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,temperature,humidity,pm25,datetime_series,PerTime,Perhour,Permonth,Perday,geohash,geometry,count
NYCP2_CS01A,1631277553,40.85,-73.9,37,5,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,60.2,6.620316489,2021-09-10 12:39:13,12:39:13,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277558,40.85,-73.9,56,5,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,60.0,6.233527139,2021-09-10 12:39:18,12:39:18,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277563,40.85,-73.9,37,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,60.0,5.295523133,2021-09-10 12:39:23,12:39:23,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277568,40.85,-73.9,45,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,59.9,6.25447477,2021-09-10 12:39:28,12:39:28,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277573,40.85,-73.9,39,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,59.7,5.314127482,2021-09-10 12:39:33,12:39:33,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277578,40.85,-73.9,45,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,59.3,4.659285115,2021-09-10 12:39:38,12:39:38,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277583,40.85,-73.9,41,6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,59.2,5.253456729,2021-09-10 12:39:43,12:39:43,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277718,40.85,-73.9,13,2,1,1,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,22.5,59.5,5.849595348,2021-09-10 12:41:58,12:41:58,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277720,40.85,-73.9,19,5,3,2,5,2,1,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,22.5,59.8,5.050433765,2021-09-10 12:42:00,12:42:00,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277725,40.85,-73.9,44,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,59.8,5.575797664,2021-09-10 12:42:05,12:42:05,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
NYCP2_CS01A,1631277730,40.85,-73.9,33,7,1,2,0,4,2,1,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,22.5,59.7,5.842771755,2021-09-10 12:42:10,12:42:10,12,September,Friday,dr72rh,POINT (-73.9 40.85),1
